Название;Артикул;Штрихкод;Цена продажи;Себестоимость;Категория;Тип;Бренд;Активен
Nabot Kand;ARM-DIO-0007;;1;0.5;Парфюм;—;Dior;Да
Nabot Kand;ARM-DIO-0020;;20;10;Парфюм;—;Dior;Да
Флакон 10 мл · стекло;;;0;1;;—;;Да
Флакон 10 мл стекло;;;0;2;;—;;Нет
Флакон 100 мл · стекло;;;0;3;;—;;Нет
Флакон 100 мл · стекло;;;0;3;;—;;Нет
Флакон 100 мл · стекло;;;0;3;;—;;Нет
Флакон 100 мл · стекло;;;0;3;;—;;Нет
Флакон 30 мл · стекло;;;0;2;;—;;Нет
Флакон 30 мл · стекло;;;0;2;;—;;Нет
Флакон 30 мл · стекло;;;0;2;;—;;Нет
Флакон 30 мл · стекло;;;0;2;;—;;Нет
Флакон 30 мл · стекло;;;0;2;;—;;Нет
Флакон 5 мл · стекло;;;0;1;;—;;Да
Флакон 50 мл · стекло;;;0;3;;—;;Нет
Флакон 50 мл · стекло;;;0;3;;—;;Нет
Флакон 50 мл · стекло;;;0;3;;—;;Нет
Флакон 50 мл · стекло;;;0;3;;—;;Нет
Флакон 50 мл · стекло;;;0;3;;—;;Нет
Флакон 50 мл · стекло;;;0;3;;—;;Нет
